# page_id = 11a

ཞིང་སྐལ་	[ཞིང་སྐལ་] n.count NOUN Number=Sing #1->1
བྲེ་པེ་སྟན་ཆུང་	[བྲེ་པེ་སྟན་ཆུང་] n.prop PROPN #2->2
བྱ་བ་	[བྱེད་] n.v.fut VERB Tense=Fut|VerbForm=Vnoun #3->3
མིང་	[མིང་] n.count NOUN Number=Sing #4->4
མི་	[མི་√neg] neg PART Polarity=Neg #5->6 @advmod
སྙན་	[སྙན་] v.fut.v.pres VERB Tense=Fut,Pres #6->6
རུང་	[རུང་√cv] cv.rung SCONJ Case=Rung #7->6 @mark
སྟོན་ཐོག་	[སྟོན་ཐོག་] n.count NOUN Number=Sing #8->8
གཞུན་པོ་	[གཞུན་པོ་] adj ADJ #9->9
ཡོང་པ་	[ཡོང་] n.v.invar VERB VerbForm=Vnoun #10->10
ཅིག་	[ཅིག་√d] d.indef DET PronType=Ind #11->11
ཡོད་པ་	[ཡོད་] n.v.invar VERB VerbForm=Vnoun #12->12
དེ	[དེ་√d] d.dem DET PronType=Dem #13->13
།	[།] punc PUNCT #14->14
ཞང་པོ	[ཞང་པོ་] n.count NOUN Number=Sing #1->1
ས་	[གྱིས་√case] case.agn ADP Case=Agn #2->1 @case
སོ་ནམ་	[སོ་ནམ་] n.count NOUN Number=Sing #3->3
བྱས་པ	[བྱེད་] n.v.past VERB Tense=Past|VerbForm=Vnoun #4->4
འི་	[གྱི་√case] case.gen ADP Case=Gen #5->5
ནས་	[ནས་] n.mass NOUN Number=Coll #6->6
སྐྱེ་འཕེལ་	[སྐྱེ་འཕེལ་] n.count NOUN Number=Sing #7->7
དུ་	[དུ་√case] case.term ADP Case=Ter #8->7 @case
ཅི་	[ཅི་√p] p.interrog PRON PronType=Int #9->9
འགྲོ་	[འགྲོ་] v.fut.v.pres VERB Tense=Fut,Pres #10->10
བྱས་	[བྱེད་] v.past VERB Tense=Past #11->11
ནས་	[ནས་√cv] cv.ela SCONJ Case=Ela #12->11 @mark
ཕག་	[ཕག་] n.count NOUN Number=Sing #13->13
ཏུ་	[དུ་√case] case.term ADP Case=Ter #14->13 @case
སོག་	[གསོག་√1] v.pres VERB Tense=Pres #15->15
གིན་	[གྱིན་√cv] cv.cont SCONJ Case=Cont #16->15 @mark
ཡོད་པ་	[ཡོད་] n.v.invar VERB VerbForm=Vnoun #17->17
ཡང་	[འང་√cl] cl.focus PART #18->18
མང་	[མང་] v.pres VERB Tense=Pres #19->19
རབ་	[རབ་] adv.intense ADV AdvType=Intens #20->20
ཏུ་	[དུ་√cv] cv.term SCONJ Case=Ter #21->20 @case
སོང་བ་	[འགྲོ་] n.v.past VERB Tense=Past|VerbForm=Vnoun #22->22	[སོང་] n.v.past VERB Tense=Past|VerbForm=Vnoun #22->22
ལ་	[ལ་√case] case.all ADP Case=All #23->23
ཤ་	[ཤ་] n.mass NOUN Number=Coll #24->24
མང་པོ་	[མང་པོ་] adj ADJ #25->25
ཉོས	[ཉོ་] v.past VERB Tense=Past #26->26
།	[།] punc PUNCT #27->26 @punct
ནས་	[ནས་] n.mass NOUN Number=Coll #1->1
དཀར་མོ་	[དཀར་མོ་] adj ADJ #2->2
མང་པོ་	[མང་པོ་] adj ADJ #3->3
ལ་	[ལ་√case] case.all ADP Case=All #4->4
ཕྱེ་	[ཕྱེ་] n.count NOUN Number=Sing #5->5
བྱས	[བྱེད་] v.past VERB Tense=Past #6->6
།	[།] punc PUNCT #7->6 @punct
ནག་མོ་	[ནག་མོ་] adj ADJ #1->1
མང་པོ་	[མང་པོ་] adj ADJ #2->2
ཆང་	[ཆང་] n.mass NOUN Number=Coll #3->3
དུ་	[དུ་√case] case.term ADP Case=Ter #4->3 @case
བཙོས་པ	[འཚོ་√2] n.v.past VERB Tense=Past|VerbForm=Vnoun #5->5	[འཚོད་] n.v.past VERB Tense=Past|VerbForm=Vnoun #5->5
ས	[གྱིས་√case] case.agn ADP Case=Agn #6->6
།	[།] punc PUNCT #7->7
མྱང་ཚ་དཀར་རྒྱན་	[མྱང་ཚ་དཀར་རྒྱན་] n.prop PROPN #1->1
མ་སྨད་	[མ་སྨད་] n.count NOUN Number=Sing #2->2
ནོར་སློངས་	[ནོར་སློངས་] n.count NOUN Number=Sing #3->3
བྱེད་པ་	[བྱེད་] n.v.pres VERB Tense=Pres|VerbForm=Vnoun #4->4
ཡིན་པ་	[ཡིན་པ་] n.v.cop AUX VerbForm=Vnoun #5->5
འདུག་	[འདུག་] v.invar VERB #6->6
ཟེར་བ་	[ཟེར་√1] n.v.fut.n.v.pres VERB Tense=Fut,Pres|VerbForm=Vnoun #7->7	[ཟེར་√2] n.v.fut.n.v.pres VERB Tense=Fut,Pres|VerbForm=Vnoun #7->7
བྱུང་	[འབྱུང་] v.past VERB Tense=Past #8->8
།	[།] punc PUNCT #9->8 @punct
དེ་	[དེ་√d] d.dem DET PronType=Dem #1->1
ནས་	[ནས་√case] case.ela ADP Case=Ela #2->2
ངེད་	[ངེད་√p] p.pers PRON PronType=Prs #3->3
རང་	[རང་√p] p.refl PRON Reflex=Yes #4->4
གི་	[གྱི་√case] case.gen ADP Case=Gen #5->5
ཁང་བ་	[ཁང་བ་] n.count NOUN Number=Sing #6->6
ཀ་བཞི་གདུང་བརྒྱད་མ་	[ཀ་བཞི་གདུང་བརྒྱད་མ་] n.prop PROPN #7->7
དེ	[དེ་√d] d.dem DET PronType=Dem #8->8
ར་	[དུ་√case] case.term ADP Case=Ter #9->9
གདན་	[གདན་] n.count NOUN Number=Sing #10->10
མང་པོ་	[མང་པོ་] adj ADJ #11->11
གཡར་	[གཡོར་√1] v.past.v.pres VERB Tense=Past,Pres #12->12
ནས་	[ནས་√cv] cv.ela SCONJ Case=Ela #13->12 @mark
བཏིང་	[འདིང་] v.past VERB Tense=Past #14->14
སྟེ	[ཏེ་√cv] cv.sem SCONJ Case=Sem #15->14 @mark
།	[།] punc PUNCT #16->14 @punct
ཨ་ཁུ་	[ཨ་ཁུ་] n.count NOUN Number=Sing #1->1
དང་	[དང་√case] case.ass ADP Case=Com #2->1 @case
ཨ་ནེ	[ཨ་ནེ་] n.count NOUN Number=Sing #3->3
ས་	[གྱིས་√case] case.agn ADP Case=Agn #4->3 @case
གཙོ་	[གཙོ་] n.count NOUN Number=Sing #5->5
བྱས་པ	[བྱེད་] n.v.past VERB Tense=Past|VerbForm=Vnoun #6->6
འི་	[གྱི་√case] case.gen ADP Case=Gen #7->7
གཉེན་ཉེ་འཁོར	[གཉེན་ཉེ་འཁོར་] n.count NOUN Number=Sing #8->8
།	[།] punc PUNCT #9->9
གྲོགས་དགའ་བཤེས་ཡུལ་མི་ཁྱིམ་མཛེས་	[གྲོགས་དགའ་བཤེས་ཡུལ་མི་ཁྱིམ་མཛེས་] n.count NOUN Number=Sing #1->1
རྣམས་	[རྣམས་√d] d.plural DET Number=Plur #2->1 @det
དང་	[དང་√case] case.ass ADP Case=Com #3->1 @case
།	[།] punc PUNCT #4->4
ཁྱད་པ	[ཁྱད་པ] adv.proclausal ADV PronType=Dem #1->1
ར་	[དུ་√case] case.term ADP Case=Ter #2->1 @case
ཡབ་	[ཡབ་] n.count NOUN Number=Sing #3->3
མི་ལ་ཤེས་རབ་རྒྱལ་མཚན་	[མི་ལ་ཤེས་རབ་རྒྱལ་མཚན་] n.prop PROPN #4->4
སྐུ་	[སྐུ་] n.count NOUN Number=Sing #5->5
གཤེགས་	[གཤེགས་] v.invar VERB #6->6
ཁ	[ཁ་] n.rel NOUN NounType=Rel #7->7
ར་	[དུ་√case] case.term ADP Case=Ter #8->8
ཞལ་ཆེམས་	[ཞལ་ཆེམས་] n.count NOUN Number=Sing #9->9
ཀྱི་	[གྱི་√case] case.gen ADP Case=Gen #10->9 @case
ཡི་གེ་	[ཡི་གེ་] n.count NOUN Number=Sing #11->11
རྒྱུས་	[རྒྱུས་] n.count NOUN Number=Sing #12->12
ཡོད་པ་	[ཡོད་] n.v.invar VERB VerbForm=Vnoun #13->13
རྣམས་	[རྣམས་√d] d.plural DET Number=Plur #14->14
བོས་	[འབོད་] v.past VERB Tense=Past #15->15
ཏེ	[ཏེ་√cv] cv.sem SCONJ Case=Sem #16->15 @mark
།	[།] punc PUNCT #17->15 @punct
ཨ་ཁུ་	[ཨ་ཁུ་] n.count NOUN Number=Sing #1->1
དང་	[དང་√case] case.ass ADP Case=Com #2->1 @case
ཨ་ནེ་	[ཨ་ནེ་] n.count NOUN Number=Sing #3->3
ལ་	[ལ་√case] case.all ADP Case=All #4->3 @case
ཤ་ཁོག་	[ཤ་ཁོག་] n.count NOUN Number=Sing #5->5
འཛུགས	[འཛུགས་] v.pres VERB Tense=Pres #6->6	[ཟུག་] v.pres VERB Tense=Pres #6->6
།	[།] punc PUNCT #7->6 @punct
གཞན་	[གཞན་√d] d.det DET #1->1
གཟུག་	[གཟུག་] n.count NOUN Number=Sing #2->2
